Record #,Label_UPC,Nielsen  Item Rank UPC,Nieslen Category,Label Description,Brand,Manufacturer,Country,Package Size,Package Size UofM,Number of Units,Storage Type,Storage Statements,Collection Date,Health Claims,Nutrient Claims,Other Package Statements,Suggested  Use/Directions,Ingredients,Multipart ?,Nutrition Facts Table,Common Household Measure,Per Serving Amount,Per Serving UofM,Per Serving Amount as PPD,Per Serving Amount As PPD UofM,PerServing Energy (kcal),Per Serving Energy (kcal) as PPD,PerServing Energy (kJ),PerServing Energy (kJ) as PPD,Fat PerServing (g),Fat % DV ,Fat % DV as PPD,Fat (Saturated) PerServing (g),Fat (Trans) PerServing (g),Fat (Saturated + Trans) % DV,Fat (Saturated + Trans) % DV as PPD,Fats (Polyunsaturated) PerServing (g),Fats (Omega-6 Polyinsaturated) PerServing (g),Fats (Omega-3 Polyinsaturated) PerServing (g),Fats (Monounsaturated) PerServing (g),Carbohydrates PerServing  (g),Carbohydrates % DV ,Carbohydrates % DV as PPD , Fibre PerServing (g),Fibre % DV ,Fibre % DV as PPD,Fibre (soluble) PerServing (g),Fibre (insoluble)PerServing (g),Sugar (Total) PerServing (g),Sugar (Total) % DV,Sugar (Total) % DV as PPD,Sugar (Alchols) PerServing (g),Starch  PerServing (g), Protein PerServing (g),Cholesterol PerServing  (mg),Cholesterol % DV,Cholesterol % DV as PPD, Sodium PerServing (mg), Sodium % DV, Sodium % DV as PPD,Potassium PerServing (mg),Potassium % DV,Potassium % DV as PPD,Calcium PerServing (mg),Calcium  % DV,Calcium  % DV as PPD,Iron PerServing (mg),Iron % DV,Iron % DV as PPD,Vitamin A PerServing (um),Vitamin A % DV,Vitamin A % DV as PPD,Vitamin C PerServing (mg),Vitamin C % DV,Vitamin C % DV as PPD,Vitamin D PerServing (um),Vitamin D % DV,Vitamin D % DV as PPD,Vitamin E PerServing (mg),Vitamin E % DV,Vitamin E % DV as PPD,Vitamin K PerServing (ug),Vitamin K % DV,Vitamin K % DV as PPD,Thiamine PerServing (mg),Thiamine % DV,Thiamine % DV as PPD,Riboflavin PerServing (mg),Riboflavin % DV,Riboflavin % DV as PPD,Niacin PerServing (mg),Niacin % DV,Niacin % DV as PPD,Vitamin B6 PerServing (mg),Vitamin B6 % DV,Vitamin B6 % DV as PPD,Folate PerServing (ug),Folate % DV,Folate % DV as PPD,Vitamin B12 PerServing (ug),Vitamin B12 % DV,Vitamin B12 % DV as PPD,Biotin PerServing (ug),Biotin % DV,Biotin % DV as PPD,Choline PerServing (mg),Choline % DV,Choline % DV as PPD,Pantothenate PerServing (mg),Pantothenate % DV,Pantothenate % DV as PPD,Phosphorus PerServing (mg),Phosphorus % DV,Phosphorus % DV as PPD,Iodide PerServing (ug),Iodide % DV,Iodide % DV as PPD,Magnesium PerServing (mg),Magnesium % DV,Magnesium % DV as PPD,Zinc PerServing (mg),Zinc % DV,Zinc % DV as PPD,Selenium PerServing (ug),Selenium % DV,Selenium % DV as PPD,Copper PerServing (mg) ,Copper % DV,Copper % DV as PPD,Manganese PerServing (mg),Manganese % DV,Manganese % DV as PPD,Chromium PerServing (ug),Chromium % DV,Chromium % DV as PPD,Molybdenum PerServing (ug),Molybdenum % DV,Molybdenum % DV as PPD,Chloride PerServing (mg),Chloride % DV,Chloride % DV as PPD,Per Serving Amount in Grams,Per Serving Amount in Grams as PPD,Comment,Source,Product Description
1,059608001605,5960800160,ROLLS_COMMERCIAL,Oakrun Farm Bakery 6 English Muffins 100 % Whole Wheat 340 g,Oakrun Farm Bakery,"Oakrun Farm Bakery. Oakrun Farm Bakery Ltd.
Ancaster Ontario L9G 3L1
Canada",,340,g,6,Ambient,,2016-04-13,,"Low in fat
0 cholesterol
0 trans fat
Source of fibre
Low sodium
","May Contain Milk
May Contain Soya
May Contain Sesame. Kosher Delicious for breakfast, lunch or snacking. Enjoy English muffins lightly toasted or fresh with your favourites toppings.", ,"Whole wheat flour,Water,Yeast,Glucose-fructose,Wheat gluten,Corn flour,Vinegar,Cornmeal,Salt,Soybean oil,Calcium propionate,Monoglycerides,Monocalcium phosphate,Fumaric acid,Potassium sorbate,Diacetyl tartaric acid esters of mono- and diglycerides,Sorbic acid,Calcium carbonate,Ammonium sulfate,Calcium silicate,Calcium sulfate ,Amylase,Pentosanase",,"Serving Size 1 English Muffin (57 g)
Calories: 130,Fat : 1.5 g, Saturated : 0.3 g, + Trans : 0 g,Cholesterol : 0 mg,Sodium : 135 mg,Potassium : 20 mg,Carbohydrate : 24 g, Fibre : 3 g, Sugars : 2 g,Protein : 5 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 2 %, Saturated : 2 %, + Trans ,Cholesterol ,Sodium : 6 %,Potassium : 1 %,Carbohydrate : 8 %, Fibre : 12 %, Sugars ,Protein ,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 6 %,Iron: 6 %",Serving Size 1 English Muffin ,57,g,,,130,,,,1.5,2,,0.3,0,2,,,,,,24,8,,3,12,,,,2,,,,,5,0,,,135,6,,20,1,,,,,,6,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,Nielsen,
2,628553012167,62855301216,BREAD_COMMERCIAL,Ace Bakery Bread White Baguette 350 g,Ace Bakery,"Ace Bakery. Ace Bakery Limited
580 Secretariat Court
Mississauga ON L5S 2A5",,350,g,,Ambient,,2016-04-04,,,"Contains Barley
Contains Wheat
May Contain Eggs
May Contain Milk
May Contain Almonds
May Contain Pecan Nuts
May Contain Walnuts
May Contain Soya
May Contain Sesame. Non-GMO! You are about to experience something simple made extraordinary. This Baguette is made from a palette of five simple ingredients: flour, water, salt, yeast, and malted barley flour. Then it is baked in a stone-deck oven (notice the floured bottom), leaving us with a golden, crisp crust and soft, flavourful interior.

We are also proud to share that while we have always been committed to uncompromised artisan baking, we have the Non-GMO project Verified™ seal to prove it.","One-Day Freshness?
You will notice this bread stays fresh for one day. That's because there are no preservatives or dough conditioners in any of our products. Here are some tips to maximize you ACE Bakery® Baguette experience.

Today:
Eat as much as you can for the rest of the day.
Tip: Tear a little off the top while shopping!

Tomorrow:
A little stale Run it under cold water for 5 seconds, and place in a 350°F oven for 5 minutes, or until crisp. Or cube, drizzle with olive oil and sprinkle with salt, pepper, minced garlic, and Parmesan.
Toast in a 350°F oven for 3-5 minutes. Serve as croutons.

Day After Tomorrow:
Smash into bread crumbs and add seasonings of your choice.

This Bread Freezes Really Well
Wrap and seal tightly in a good quality freezer bag.
To reheat, remove the bread from the bag and, while still frozen, place in a 400°F oven for 6-8 minutes, or until heated throughout ","Unbleached wheat flour,Water,Salt,Yeast,Malted barley flour",,"Per 1/7 loaf (50 g)
Calories: 130,Fat: 0 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium: 290 mg,Carbohydrate: 27 g,Fibre: 1 g,Sugars: 1 g,Protein: 4 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 0 %,Saturated: 0 %,+ Trans,Cholesterol,Sodium: 12 %,Carbohydrate: 9 %,Fibre: 4 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 10 %",Per 1/7 loaf ,50,g,,,130,,,,0,0,,0,0,0,,,,,,27,9,,1,4,,,,1,,,,,4,0,,,290,12,,,,,,0,,,10,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,Nielsen,
3,628553071034,62855307103,BREAD_COMMERCIAL,Ace Bakery Bread Ciabatta Pezzetti Duo 12 Pack 840 g,Ace Bakery,"Ace Bakery. Ace Bakery
580 Secretariat Court
Mississauga ON L5S 2A5",,840,g,12,Ambient,,2016-03-24,,,"Contains Barley
Contains Wheat
May Contain Eggs
May Contain Milk
May Contain Almonds
May Contain Pecan Nuts
May Contain Walnuts
May Contain Soya
May Contain Sesame. All natural artisan rolls We Love Bread!
For everyone who loves artisan bread, we are proud to present these Ciabatta Pezzetti Duo Rolls. You'll see the ingredients we use are simple, top quality, and free of preservatives. These rolls spend lots of time resting, and then are baked in a stone oven for a delicate, authentic flavour. Serve warm with dinner, or create fun bite-sized sandwiches for friends and family.","To serve warm
For a warm centre, slightly crisp crust, and mouth-watering aroma, we invite you to warm these Ciabatta Pezzetti Duo Rolls (unwrapped) in a 200°C (400°F) oven for 3-4 minutes. ","Unbleached wheat flour,Water,Salt,Yeast,Malted barley flour",,"Per 1/2 roll (35 g)
Calories: 90,Fat: 0.2 g,Saturated: 0 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium: 190 mg,Carbohydrate: 18 g,Fibre: 1 g,Sugars: 1 g,Protein: 3 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 0 %,Saturated: 0 %,+ Trans,Cholesterol,Sodium: 8 %,Carbohydrate: 6 %,Fibre: 4 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 0 %,Iron: 8 %",Per 1/2 roll ,35,g,,,90,,,,0.2,0,,0,0,0,,,,,,18,6,,1,4,,,,1,,,,,3,0,,,190,8,,,,,,0,,,8,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,Nielsen,
4,056920000552,5692000055,NATURAL_CHEESE_EXACT_WEIGHT,Agropur Signature Brie Normandie Double Crème 550 g,Agropur,"Agropur. Agropur Dairy Cooperative
Longueuil (QC) J3Z 1G5",,550,g,,Chill,Keep refrigerated,2016-04-13,,,  , ,"Pasteurized milk,Modified milk ingredients,Pasteurized cream,Bacterial cultures,Salt,Calcium chloride,Microbial enzyme",,"Per 1 cube of 3 cm (30 g)
Calories: 110,Fat : 9 g,Saturated: 5 g,+ Trans: 0.2 g,Cholesterol : 30 mg,Sodium : 160 mg,Carbohydrate : 1 g,Fibre : 0 g,Sugars : 0 g,Protein : 6 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 14 %,Saturated: 26 %,+ Trans,Cholesterol ,Sodium : 7 %,Carbohydrate : 1 %,Fibre : 0 %,Sugars ,Protein ,Vitamin A: 6 %,Vitamin C: 0 %,Calcium: 10 %,Iron: 0 %",Per 1 cube of 3 cm ,30,g,,,110,,,,9,14,,5,0.2,26,,,,,,1,1,,0,0,,,,0,,,,,6,30,,,160,7,,,,,,10,,,0,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,Nielsen,
5,834183004117,83418300411,POTATOES_FROZEN,Alexia Sweet Potato Fries with Sea Salt 425 g,Alexia,"Alexia. Alexia Foods
Kennewick WA 99336
U.S.A.",United States,425,g,,Frozen,Keep frozen. Do not thaw.,2016-04-13,,"Trans fat free
","Contains Mustard. Sweet and savoury, Kosher Combines the sweet and savoury flavour of sweet potato with a hint of sea salt","Appliances vary. Adjust cooking times as needed. Food Must be Cooked Thoroughly. Internal temperature needs to reach 74°C (165°F) as measured by a food thermometer in several spots. Read and follow these cooking directions. Preheat Oven to 220 °C (425 °F)
Full Bag
18 to 22 minutes
Half Bag
10 to 12 minutes
Arrange frozen potatoes in a single layer on an 11'' x 17'' baking sheet. Bake according to instructions above to desired colour and crispness, stirring halfway through cooking time. : From Chilled : Oven cook","Sweet potatoes,Vegetable oil (contains one or more of the following: high oleic canola, canola sunflower),Rice flour,Tapioca starch,Cane sugar,Corn starch,Tapioca dextrin,Sea salt,Chili pepper powder,Salad mustard (distilled vinegar, mustard seed, salt, turmeric, paprika),Xanthan gum,Gluconic acid",,"Per 12 pieces (84 g)
Calories: 130,Fat : 4.5 g, Saturated: 0.4 g, + Trans: 0 g,Cholesterol: 0 mg,Sodium: 140 mg,Carbohydrate: 22 g, Fibre: 3 g, Sugars: 7 g,Protein: 1 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 7 %, Saturated: 2 %, + Trans,Cholesterol,Sodium: 6 %,Carbohydrate: 7 %, Fibre: 12 %, Sugars,Protein,Vitamin A: 100 %,Vitamin C: 6 %,Calcium: 2 %,Iron: 4 %",Per 12 pieces ,84,g,,,130,,,,4.5,7,,0.4,0,2,,,,,,22,7,,3,12,,,,7,,,,,1,0,,,140,6,,,,,,2,,,4,,,100,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,In orange - corrected UPC10,Nielsen,
6,056412503332,5641250333,VEGETABLE_JUICES,Allen's Cocktail 10-Vegetable 1 L,Allen's,"Allen's. A. Lassonde Inc.
Rougemont Québec J0L 1M0
Montréal
Toronto
Halifax
Calgary
Canada",Canada,1,L,,Ambient,Refrigerate after opening and preferably consume within 10 days of opening,2016-04-13,,"Vitamin C added
No sugar added - natural vegetable sugars"," A Canadian favourite for over 80 years
Pasteurized
1 portion of 250 mL = 2 servings of vegetables ",Serve chilled and shake well before opening. ,"Vegetable juice from concentrate (water, tomato paste, concentrated carrot, celery, cucumber, green pepper, beet, parsley, onion, spinach, lettuce and watercress juices),Sea salt,Concentrated lemon juice ,Potassium chloride ,Vitamin C ,Natural flavour",,"Per 250 mL
Calories: 60,Fat : 0 g, Saturated: 0 g, + Trans : 0 g,Cholesterol: 0 mg,Sodium : 425 mg,Potassium: 720 mg,Carbohydrate : 12 g, Fibre : 2 g, Sugars: 6 g,Protein : 2 g,Vitamin A,Vitamin C,Calcium,Iron,* DV = Daily Value

%DV*
Calories,Fat : 0 %, Saturated: 0 %, + Trans ,Cholesterol,Sodium : 18 %,Potassium: 21 %,Carbohydrate : 4 %, Fibre : 8 %, Sugars,Protein ,Vitamin A: 15 %,Vitamin C: 70 %,Calcium: 4 %,Iron: 6 %,* DV = Daily Value",Per 250 mL,250,mL,,,60,210,,,0,0,4,0,0,0,2,,,,,12,4,13,2,8,20,,,6,,,,,2,0,,,425,18,,720,21,,,4,,,6,,,15,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,,Nielsen,
7,055712115344,5571211534,RTE_CEREALS,Alpen Muesli Cereal Delicious Whole Grain Swiss Style 650 g,Alpen,"Alpen. Weetabix of Canada Limited
P.O. Box 2020
Cobourg Ontario K9A 5P5",,650,g,,Ambient,,2016-04-13,,"No sugar added
High in fibre
Low sodium
Source of iron
0 g trans fat per serving
Cholesterol-free food, Fibre-rich whole grain oats for a morning boost of energy.","Contains Wheat
Contains Milk
Contains Almonds
Contains Hazelnuts. 6 g of protein per serving
The Whole Grains Council - whole grain 35g portion 
35 g of whole grains
Made with Non-GMO grains
rBGH/rBST-free
No artificial flavours, colours or preservatives
Suitable for vegetarians
Kosher Taking Breakfast to new heights!
Muesli was created in Switzerland in the late 1800's as a cornerstone of healthy living. Today, Alpen Cereals follow the same hearty recipe, packed full of deliciously wholesome ingredients.
Roasted hazelhuts and almonds for extra protein and irresistible crunch.
Since the 1960's, Alpen's timeless blend of whole grains, fruits and nuts has been a high-energy breakfast favourite. Free from artificial preservatives, flavours and colours, Alpen is a wonderful way to energize your day.", ,"Non-GMO whole grain oats,Non-GMO whole grain wheat,Raisins (coated with expeller pressed canola or sunflower oil),Skim milk powder (rBGH/rBST-free),Almonds,Malted barley extract,Hazelnuts",,"Per 1/2 cup (45 g)
Calories ,Fat: 2.5 g*,Saturated: 0.4 g,+ Trans: 0 g,Cholesterol: 0 mg,Sodium: 15 mg,Carbohydrate: 32 g,Fibre: 5 g,Sugars: 6 g,Protein: 6 g,Vitamin A,Vitamin C,Calcium,Iron,* Amount in cereal,† 125 mL Skim Milk adds 40 Calories,,< 5 mg Cholesterol, 50 mg Sodium,,210 mg Potassium, 6 g Carbohydrate,(6 g Sugars) and 4 g Protein.

Cereal
Calories: 170 % Daily Value*,Fat: 4 %,Saturated: 2 %,+ Trans,Cholesterol,Sodium: 1 %,Carbohydrate: 11 %,Fibre: 20 %,Sugars,Protein,Vitamin A: 0 %,Vitamin C: 0 %,Calcium: 4 %,Iron: 15 %,* Amount in cereal,† 125 mL Skim Milk adds 40 Calories,,< 5 mg Cholesterol, 50 mg Sodium,,210 mg Potassium, 6 g Carbohydrate,(6 g Sugars) and 4 g Protein.

With 125 mL Skim Milk†
Calories: 210 % Daily Value*,Fat: 4 %,Saturated: 2 %,+ Trans,Cholesterol,Sodium: 3 %,Carbohydrate: 13 %,Fibre: 20 %,Sugars,Protein,Vitamin A: 6 %,Vitamin C: 0 %,Calcium: 20 %,Iron: 15 %,* Amount in cereal,† 125 mL Skim Milk adds 40 Calories,,< 5 mg Cholesterol, 50 mg Sodium,,210 mg Potassium, 6 g Carbohydrate,(6 g Sugars) and 4 g Protein.",Per 1/2 cup ,45,g,,,170,,,,2.5,,,0.4,0,,,,,,,32,,,5,,,,,6,,,,,6,0,,,15,,3,210,,,,4,20,,,15,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Nielsen,
8,067400002485,6740000248,NATURAL_CHEESE_EXACT_W_DELI,Anco Fine Swiss Cheese Light 170 g,Anco,"Anco. Agropur
Longueuil (QC) J3Z 1G5",,170,g,,Chill,Keep refrigerated,2016-04-13,,"37% less fat than our regular Swiss
Lactose free",Free From Lactose. Light , ,"Pasteurized partly skimmed milk,Salt,Bacterial culture,Microbial enzyme,Calcium chloride,Propionic culture",,"Per 1 cube of 3 cm (30 g)
Calories: 90,Fat: 5 g,Saturated: 3.5 g,+ Trans: 0.2 g,Cholesterol: 20 mg,Sodium: 140 mg,Carbohydrate: 1 g,Fibre: 0 g,Sugars: 0 g,Protein: 10 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat: 8 %,Saturated: 19 %,+ Trans,Cholesterol,Sodium: 6 %,Carbohydrate: 1 %,Fibre: 0 %,Sugars,Protein,Vitamin A: 6 %,Vitamin C: 0 %,Calcium: 25 %,Iron: 0 %",Per 1 cube of 3 cm ,30,g,,,90,,,,5,8,,3.5,0.2,19,,,,,,1,1,,0,0,,,,0,,,,,10,20,,,140,6,,,,,,25,,,0,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,Nielsen,
9,067400515695,6740051569,NATURAL_CHEESE_EXACT_WEIGHT,Anco Fine Cheese Havarti Jalapeño Cheese 180 g,Anco,Anco. ,,180,g,,Chill,Keep refrigerated,2016-04-11,,,  , ,"Pasteurized milk and cream,Modified milk ingredients,Salt,Bacterial culture,Dehydrated vegetables (jalapeno peppers, bell peppers),Calcium chloride,Colour,Microbial enzyme,Natamycin",,"Per 1 cube of 3 cm (30 g)
Calories: 120,Fat : 10 g, Saturated: 6 g, + Trans: 0.3 g,Cholesterol: 30 mg,Sodium : 230 mg,Carbohydrate : 1 g, Fibre : 0 g, Sugars: 0 g,Protein : 7 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 15 %, Saturated: 32 %, + Trans,Cholesterol,Sodium : 10 %,Carbohydrate : 0 %, Fibre : 0 %, Sugars,Protein ,Vitamin A: 15 %,Vitamin C: 2 %,Calcium: 15 %,Iron: 0 %",Per 1 cube of 3 cm ,30,g,,,120,,,,10,15,,6,0.3,32,,,,,,1,0,,0,0,,,,0,,,,,7,30,,,230,10,,,,,,15,,,0,,,15,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,Nielsen,
10,067400513400,6740051340,NATURAL_CHEESE_EXACT_WEIGHT,Anco Fine Cheese Gouda Light 170 g,Anco,"Anco. Agropur Dairy Cooperative
Longueuil (QC) J3Z 1G5",,170,g,,Chill,Keep refrigerated,2016-04-13,,"44% less fat than our mild gouda
Lactose free",Free From Lactose. Light  , ,"Pasteurized partly skimmed milk,Modified milk ingredients,Salt,Bacterial culture,Calcium chloride,Microbial enzyme,Natural colour,Natamycine",,"Per 1 cube of 3 cm (30 g)
Calories: 80,Fat : 5 g,Saturated: 3.5 g,+ Trans: 0.2 g,Cholesterol: 15 mg,Sodium : 230 mg,Carbohydrate : 0 g,Fibre : 0 g,Sugars: 0 g,Protein : 9 g,Vitamin A,Vitamin C,Calcium,Iron

% Daily Value
Calories,Fat : 8 %,Saturated: 19 %,+ Trans,Cholesterol,Sodium : 10 %,Carbohydrate : 0 %,Fibre : 0 %,Sugars,Protein ,Vitamin A: 6 %,Vitamin C: 0 %,Calcium: 25 %,Iron: 0 %",Per 1 cube of 3 cm ,30,g,,,80,,,,5,8,,3.5,0.2,19,,,,,,0,0,,0,0,,,,0,,,,,9,15,,,230,10,,,,,,25,,,0,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,Nielsen,
