ItemID,UPC,Description,Brand,Manufacturer,DRank,DVol,DShr,DPChg,KVol,KShr,KPChg,ACDist,RUPrice,Source,NielsenCatName,CollectionDate,SalesYr,Cntl,TotalKiloVol,KRank,TotalDVol,ClNum,PrdGroup,PrdDesc,ClassNum,ClassType,Comment
320.1399,4038744,KNORR AROMAT SEASONING 100GM,,UNILEVER,"1,390",544,0,11%,12,0,19%,0,$4.65,TEST,SEASONINGS & SALAD TOPPINGS,2015-12-09,2015,0,5189218,1404,124986156,,,KNORR AROMAT SEASONING,,,
620.2311,8002806,BALOCCO CACAO WAFER CUBES 45 GM CELLO,,TRIPLE C IMPORTS,"2,302","1,391",0,-35%,86,0,-49%,NA,$0.73,TEST,COOKIES,2015-12-09,2015,0,72719606,2316,647897975,,,BALOCCO CACAO WAFER CUBES,,,
620.2519,8002809,BALOCCO MILK LATTE WAFER CUBE 45 GM CELLO,,TRIPLE C IMPORTS,"2,510",921,0,-64%,51,0,-77%,NA,$0.82,TEST,COOKIES,2015-12-09,2015,0,72719606,2575,647897975,,,BALOCCO MILK LATTE WAFER CUBE,,,
150.0298,8026584,IASA TUNA IN OLIVE OIL 300 GM,,?,289,39,0,-70%,1,0,-70%,NA,$13.00,TEST,TUNA - C&B,2015-12-09,2015,0,16204779,295,178730249,,,IASA TUNA IN OLIVE OIL,,,
1190.133,8059605,COLAVITA ARTICHOKE COUNTRY STYLE 500GM,,COLAVITA PASTA,"1,320",18,0,NA,1,0,NA,0,$18.00,TEST,VEGETABLES - C&B,2015-12-09,2015,0,27026211,1354,108314708,,,COLAVITA ARTICHOKE COUNTRY STYLE,,,
1190.1284,8059607,COLAVITA SUNDRIED TOMATO 500 GM,,COLAVITA PASTA,"1,270",28,0,-78%,1,0,-78%,0,$14.00,TEST,VEGETABLES - C&B,2015-12-09,2015,0,27026211,1345,108314708,,,COLAVITA SUNDRIED TOMATO,,,
1190.1248,8059609,COLAVITA ARTICHOKE HEARTS IN OIL 500GM,,COLAVITA PASTA,"1,236",38,0,111%,1,0,100%,0,$19.00,TEST,VEGETABLES - C&B,2015-12-09,2015,0,27026211,1341,108314708,,,COLAVITA ARTICHOKE HEARTS IN OIL,,,
1500.1913,8714103,CONIMEX SAMBAL OELEK CHILI PASTE 250 GM,,CONIMEX,"1,904",97,0,-28%,12,0,-28%,0,$1.98,TEST,SPECIALTY EASTERN FOODS,2015-12-09,2015,0,6542976,1876,52005121,,,CONIMEX SAMBAL OELEK CHILI PASTE,,,
1500.1317,8714112,CONIMEX SAMBAL OELEK 200 GM,,CONIMEX,"1,308",707,0,36%,29,0,43%,0,$4.84,TEST,SPECIALTY EASTERN FOODS,2015-12-09,2015,0,6542976,1617,52005121,,,CONIMEX SAMBAL OELEK,,,
930.0374,8714702,HONIG CHICKEN TEA BAGS 13GM,,HONIG FOODS,365,244,0,-40%,1,0,-60%,0,$3.87,TEST,SOUP MIXES - DRY,2015-12-09,2015,0,4732420,435,63572377,,,HONIG CHICKEN TEA BAGS,,,
